id,car_brand,car_model,car_trim,Price_EGP,body_type,powertrain_type,Insurance_Price_EGP,Register_Price_EGP,Engine_CC,Engine_Turbo,Horsepower_HP,Max_Speed_kmh,Acceleration_0_100_sec,Number_transmission_Speeds,Transmission_Type,Fuel_Type,Number_of_Cylinders,Fuel_Tank_L,Torque_Newton_Meter,Length_mm,Width_mm,Height_mm,Ground_Clearance_mm,Wheelbase_mm,Trunk_Size_L,Origin_Country,Assembly_Country,Year,Number_of_Seats,Traction_Type,ABS,EBD,Driver_Airbag,Passenger_Airbag,Rear_Sensors,Air_Conditioning,Power_Steering,Electric_Mirrors,Remote_Keyless,Central_Locking,Cruise_Control,Sunroof,Tinted_Glass,Front_Power_Windows,Back_Power_Windows,Bluetooth,USB_Port,AUX,Alloy_Wheels,Fog_Light,Multifunction,Warranty_km,Warranty_years,Minimum_Installment,Minimum_Deposit,Fuel_Consumption_l_100_km,Side_Airbag,Power_Seats,CD_Player,Closing_Mirrors,Leather_Seats,EPS,Rear_Camera,GPS,Front_Sensors,Intelligent_Parking_System,Rear_Spoiler,Electric_Chairs,Start_Engine,ESP,Steptronic,Panoramic_Sunroof,Touch_Activated_Door_Lock,Heated_Seats,Cool_Box,Rear_Seat_Entertainment,Daytime_Running_Lights,Start_Stop_System,Tyre_Pressure_Sensor,Xenon_Headlights,Front_Camera,Immobilizer_Key,Roof_Rack,Anti_Theft_System,Alarm,Multimedia_Touch_Screen,Off_Road_Tyres,Battery_Capacity_kWh,Battery_Range_km
31,MG,zs,MG ZS 2025 Automatic / Comfort / ACC,1075000.0,crossover/suv,Internal_Combustion_Engine,26875,10750,1500,False,119,,10.9,4,automatic_traditional,92,4,48,150,4314,1809,1624,,2585,495,uk,china,2025,5,front traction,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,150000.0,6.0,30078,161250,5.8,True,,,,True,True,,,,True,,,True,True,,,,,,,,,,,,,,True,True,True,,,
32,MG,zs,MG ZS 2025 A/T / Luxury,1100000.0,crossover/suv,Internal_Combustion_Engine,27500,11000,1500,False,119,,10.9,4,automatic_traditional,92,4,48,150,4314,1809,1624,,2585,495,uk,china,2025,5,front traction,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,150000.0,6.0,30777,165000,5.8,True,,,True,True,True,True,True,,True,,,True,True,,,,,,,,,,,,,,True,True,True,,,
33,MG,zs-shape-facelift,MG ZS 2026 A/T / Luxury,1080000.0,crossover/suv,Internal_Combustion_Engine,27000,10800,1500,False,120,,10.9,,automatic_cvt,92,4,45,180,4323,1809,1653,,2585,495,uk,china,2026,5,front traction,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,150000.0,6.0,30218,162000,5.8,True,,,True,True,True,True,True,,True,,,True,True,,,,,,,,,,,,,,True,True,True,,,
34,alpha-romeo,Giulia,Alfa Romeo Giulia 2025 AT / sprint,2749000.0,sedan,Internal_Combustion_Engine,68725,41235,2000,True,200,240,4.7,8,automatic_traditional,95,4,58,330,4639,1873,1426,150,2820,480,italy,italy,2025,5,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,76915,412350,6.9,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,True,True,True,,,
35,alpha-romeo,Giulia,Alfa Romeo Giulia 2025 A/T / Veloce,3149000.0,sedan,Internal_Combustion_Engine,78725,47235,2000,True,200,240,4.7,8,automatic_traditional,95,4,58,330,4639,1873,1426,150,2820,480,italy,italy,2025,5,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,88106,472350,6.9,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,True,True,True,,,
36,alpha-romeo,Stelvio,Alfa Romeo Stelvio 2025 A/T / Sprint,3325000.0,crossover/suv,Internal_Combustion_Engine,83125,49875,2000,True,280,241,6.7,8,automatic_traditional,95,4,64,400,4693,1903,1684,200,2818,525,italy,italy,2025,5,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,93031,498750,7.0,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,True,True,True,,,
37,alpha-romeo,Stelvio,Alfa Romeo Stelvio 2025 A/T / Veloce,3550000.0,crossover/suv,Internal_Combustion_Engine,88750,53250,2000,True,280,241,6.7,8,automatic_traditional,95,4,64,400,4693,1903,1684,200,2818,525,italy,italy,2025,5,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,99326,532500,7.0,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,True,True,True,,,
38,alpha-romeo,Tonale,Alfa Romeo Tonale 2025 AT / sprint,2625000.0,crossover/suv,Internal_Combustion_Engine,65625,39375,2000,True,256,235,8.1,9,automatic_traditional,95,4,55,400,4528,2082,1693,,2636,,italy,,2025,5,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,73445,393750,,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,True,True,True,,,
39,alpha-romeo,Tonale,Alfa Romeo Tonale 2025 A/T / Veloce,2825000.0,crossover/suv,Internal_Combustion_Engine,70625,42375,2000,True,256,235,8.1,9,automatic_traditional,95,4,55,400,4528,2082,1693,,2636,,italy,,2025,5,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,79041,423750,,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,True,True,True,,,
40,audi,Q2,Audi Q2 2025 A/T / S Line,2100000.0,crossover/suv,Internal_Combustion_Engine,52500,21000,1400,True,150,218,10.3,7,automatic_traditional,95,4,50,200,4191,1794,1508,,2595,405,germany,germany,2025,5,front traction,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,100000.0,3.0,58756,315000,5.1,True,True,,True,True,True,True,,True,True,True,True,True,True,,True,True,,,,,,,,,,,True,True,True,,,
