car_trim,powertrain_type
MG MG 4 A/T / Luxury 2025,Electric
MG MG 4 AT / Standard 2025,Electric
MG 6 2026 A/T / LUX / Black interior,Internal_Combustion_Engine
MG 6 2026 A/T / LUX / Red Interior,Internal_Combustion_Engine
MG 6 2025 A/T / LUX / Black interior,Internal_Combustion_Engine
MG 6 2025 A/T / LUX / Red Interior,Internal_Combustion_Engine
MG 6 A/T / LUX / Red Interior 2025,Internal_Combustion_Engine
MG 6 A/T / LUX / Black interior 2025,Internal_Combustion_Engine
MG RX5 Plus 2026 A/T / Luxury,Internal_Combustion_Engine
MG RX5 Plus 2025 A/T / Comfort,Internal_Combustion_Engine
MG RX5 Plus 2025 A/T / Luxury,Internal_Combustion_Engine
MG RX5 Plus A/T / Luxury 2026,Internal_Combustion_Engine
MG RX5 Plus A/T / Luxury 2025,Internal_Combustion_Engine
MG RX5 Plus A/T / Comfort 2025,Internal_Combustion_Engine
MG HS 2026 A/T / Luxury,Internal_Combustion_Engine
MG HS 2026 A/T /  HEV,Hybrid
MG 7 2026 A/T / luxury,Internal_Combustion_Engine
MG 7 2026 A/T / Trophy,Internal_Combustion_Engine
MG 7 2025 Automtic /luxury,Internal_Combustion_Engine
MG 7 A/T / Trophy 2026,Internal_Combustion_Engine
MG 7 Automtic /luxury 2025,Internal_Combustion_Engine
MG HS 2026 A/T / Luxury,Internal_Combustion_Engine
MG HS 2025 A/T / Luxury,Internal_Combustion_Engine
MG HS A/T / Luxury 2026,Internal_Combustion_Engine
MG HS A/T / Luxury 2025,Internal_Combustion_Engine
BMW 118 2025 A/T / M SPORT,Internal_Combustion_Engine
BMW 218 i 2025 A/T /  M SPORT,Internal_Combustion_Engine
BMW X1 2025 A/T / X Line,Internal_Combustion_Engine
BMW X1 2025 A/T / M Sport,Internal_Combustion_Engine
BMW X1 A/T / M Sport 2025,Internal_Combustion_Engine
BMW X1 A/T / X Line 2025,Internal_Combustion_Engine
BMW X2 2025 A/T / sDrive18i M Sport,Internal_Combustion_Engine
BMW X2 2025 A/T / M 35I,Internal_Combustion_Engine
BMW X2 A/T / M 35I 2025,Internal_Combustion_Engine
BMW X2 A/T / sDrive18i M Sport 2025,Internal_Combustion_Engine
BMW IX1 2025 A/T / Elc,Electric
BMW IX1 A/T / Elc 2025,Electric
BMW IX2 2025 Automtic,Electric
BMW IX2 Automtic 2025,Electric
BMW 520 2025 A/T / Luxury,Internal_Combustion_Engine
BMW 520 2025 A/T / M Sport,Internal_Combustion_Engine
BMW 520 2025 A/T / Luxury line,Internal_Combustion_Engine
BMW 520 2025 A/T / Luxury Bronze,Internal_Combustion_Engine
BMW 420 2025 A/T / M SPORT,Internal_Combustion_Engine
BMW 420 2025 A/T / Convertible,Internal_Combustion_Engine
BMW 420 A/T / M SPORT 2025,Internal_Combustion_Engine
BMW I4 2025 A/T / i4 e40 GC,Electric
BMW X4 2025 A/T / xDrive 30i xLine,Internal_Combustion_Engine
BMW I5 2025 A/T / Luxury,Electric
BMW I5 2025 A/T / Luxury Bronze,Electric
BMW I5 2025 A/T /  M Sport,Electric
BMW X5 2025 A/T / xDrive40i xLine,Internal_Combustion_Engine
BMW X5 2025 A/T / M60i,Internal_Combustion_Engine
BMW IX 2025 A/T / XDrive 50,Electric
BMW IX A/T / XDrive 50 2025,Electric
BMW X6 2025 A/T / X6 xDrive40i,Internal_Combustion_Engine
BMW X6 2025 A/T / M60i xDrive,Internal_Combustion_Engine
BMW X6 A/T / X6 xDrive40i,Internal_Combustion_Engine
BMW X6 A/T / M60i xDrive,Internal_Combustion_Engine
BMW X6 A/T / M60i xDrive 2025,Internal_Combustion_Engine
BMW X6 A/T / X6 xDrive40i 2025,Internal_Combustion_Engine
BMW 7 Series 2025 A/T /  i7 XDrive60,Electric
BMW 7 Series 2025 A/T / 740i,Internal_Combustion_Engine
BMW 7 Series 2025 A/T / 760i xDrive,Internal_Combustion_Engine
BMW 7 Series A/T /  i7 XDrive60 2025,Electric
BMW 7 Series A/T / 760i xDrive 2025,Internal_Combustion_Engine
BMW 7 Series A/T / 740i 2025,Internal_Combustion_Engine
BMW X7 2025 A/T / M60i,Internal_Combustion_Engine
Mitsubishi Attrage 2025 A/T / Highline,Internal_Combustion_Engine
Mitsubishi Attrage A/T / Highline 2025,Internal_Combustion_Engine
Mitsubishi Mirage 2025 A/T / Highline,Internal_Combustion_Engine
Mitsubishi Mirage A/T / Highline 2025,Internal_Combustion_Engine
Mitsubishi Outlander Sport 2025 A/T / Midline,Internal_Combustion_Engine
Mitsubishi Outlander Sport 2025 Automtic / HIGH LINE,Internal_Combustion_Engine
Mitsubishi Outlander Sport 2025 Automtic / PREMIUM LINE,Internal_Combustion_Engine
Mitsubishi Outlander Sport Automtic / PREMIUM LINE 2025,Internal_Combustion_Engine
Mitsubishi Outlander Sport Automtic / HIGH LINE 2025,Internal_Combustion_Engine
Mitsubishi Outlander Sport A/T / Midline 2025,Internal_Combustion_Engine
Mitsubishi Xpander 2026 A/T / Ignite - ML,Internal_Combustion_Engine
Mitsubishi Xpander 2026 A/T / Spark - HL,Internal_Combustion_Engine
Mitsubishi Xpander 2026 A/T / Premium - PL,Internal_Combustion_Engine
Mitsubishi Xpander 2025 A/T / Midline,Internal_Combustion_Engine
Mitsubishi Xpander 2025 A/T / Highline,Internal_Combustion_Engine
Mitsubishi Xpander 2025 A/T / Premium line,Internal_Combustion_Engine
Mitsubishi Eclipse Cross 2025 A/T / Insport BL,Internal_Combustion_Engine
Mitsubishi Eclipse Cross 2025 A/T / Insport PLUS - ML PLUS,Internal_Combustion_Engine
Mitsubishi Eclipse Cross 2025 A/T / Inspire - HL,Internal_Combustion_Engine
Mitsubishi Eclipse Cross 2025 A/T / Instyle TL,Internal_Combustion_Engine
Mitsubishi Eclipse Cross 2025 A/T / INFINITY - PL AWD,Internal_Combustion_Engine
Mitsubishi Eclipse Cross A/T / INFINITY - PL AWD 2025,Internal_Combustion_Engine
Mitsubishi Eclipse Cross A/T / Instyle TL 2025,Internal_Combustion_Engine
Mitsubishi Eclipse Cross A/T / Inspire - HL 2025,Internal_Combustion_Engine
Mitsubishi Eclipse Cross A/T / Insport PLUS - ML PLUS 2025,Internal_Combustion_Engine
Mitsubishi Eclipse Cross A/T / Insport BL 2025,Internal_Combustion_Engine
Skoda Octavia A8 2026 A/T / Loft,Internal_Combustion_Engine
Skoda Octavia A8 2026 A/T / Lounge,Internal_Combustion_Engine
Skoda Octavia A8 2026 A/T / Suite,Internal_Combustion_Engine
Skoda Octavia A8 2025 A/T / Loft,Internal_Combustion_Engine
Skoda Octavia A8 2025 A/T / Lounge,Internal_Combustion_Engine
